"","MM","GS","group"
"ATF7IP2",0.683611866822986,0.152467429002341,TRUE
"ATP2B2",0.427210241222258,0.0270611289903459,FALSE
"AZGP1",0.824059674233443,0.233729890970165,TRUE
"AZGP1P2",0.645553510993281,0.232170941016562,TRUE
"BAAT",0.749419989413986,0.217776293762665,TRUE
"BAK1",0.573240949750163,0.257378833019663,FALSE
"BCKDHB",0.651351524539425,0.283251616476682,TRUE
"BDH1",0.839761352452575,0.225667810225751,TRUE
"BHMT",0.754806514895169,0.197816184675022,TRUE
"BHMT2",0.732933985160518,0.117254248779418,FALSE
"BLVRB",0.527742718486987,0.148093045168983,FALSE
"BNIP3",0.618380414451619,0.144241665004561,FALSE
"BPHL",0.736436946893395,0.233510865950424,TRUE
"BTD",0.717023356240295,0.208807579379445,TRUE
"C11orf54",0.683204360535908,0.21978060158361,TRUE
"C11orf71",0.593454286599955,0.202058299309794,FALSE
"C15orf39",0.608374949291304,0.169000238680765,TRUE
"C1orf115",0.679460311201814,0.120507452429285,FALSE
"C1R",0.540716966474919,0.258455823534133,FALSE
"C1RL",0.551447390576574,0.259632475666514,FALSE
"C1S",0.684417881913845,0.263794266521819,TRUE
"C2",0.559966740036448,0.0498319439369549,FALSE
"C2orf72",0.510362028035868,0.112990096518181,FALSE
"C3",0.639729015793089,0.194825685188912,TRUE
"C3orf85",0.597248015171707,0.238370538837701,FALSE
"C4BPA",0.686985901522435,0.184690621765543,TRUE
"C4BPB",0.746622503499409,0.120072202855624,FALSE
"C5",0.513593096328796,0.137887219833082,FALSE
"C6",0.682703684087187,0.338729207064817,TRUE
"C8A",0.839410136252554,0.256505901946878,TRUE
"C8B",0.785730268075096,0.242346621515585,TRUE
"C8G",0.572976789188467,0.109038217324225,FALSE
"CA5A",0.714482278974666,0.186818970495919,TRUE
"CA9",0.642016841799895,0.229507356233214,TRUE
"CADM1",0.601892126823666,0.215491137964962,TRUE
"CALB2",0.585189392368911,0.07351122356081,FALSE
"CAMSAP3",0.341047843250688,0.0700266061628007,FALSE
"CAT",0.812293437496899,0.298422154728733,TRUE
"CBR1",0.599237836842372,0.125318355174515,FALSE
"CCDC38",0.502745537742588,0.0795769736226754,FALSE
"CCDC74B",0.660205493946068,0.108932565200279,FALSE
"CCL15",0.463684000563542,0.0667603912237011,FALSE
"CCL16",0.798990615141709,0.176031546323475,TRUE
"CCT8P1",0.50932871302212,0.0271140280841366,FALSE
"CD14",0.603610446590602,0.249396535939715,TRUE
"CDH23",0.611793188908011,0.246101432249214,TRUE
"CDHR5",0.70161190010568,0.148292611255297,FALSE
"CDK16",0.630047466916208,0.227983649209119,TRUE
"CDO1",0.818205522234427,0.216243970058844,TRUE
"CEACAM1",0.537772064561789,0.084999403513758,FALSE
"CECR2",0.58376545803654,0.047965664711854,FALSE
"CES1",0.704369207349778,0.183278955564121,TRUE
"CES2",0.809405715650169,0.269402718979858,TRUE
"CES3",0.664167222113973,0.248095027583881,TRUE
"CES4A",0.562264400630049,0.222106690713137,FALSE
"CFAP57",0.566436481477751,0.244033246808869,FALSE
"CFH",0.60535238732715,0.160361610695181,TRUE
"CFHR1",0.528366287287976,0.15914577550816,FALSE
"CFHR2",0.845532157036814,0.182834635499403,TRUE
"CFHR3",0.610340944157465,0.204405031403464,TRUE
"CFHR4",0.772081785783901,0.299484096118081,TRUE
"CFHR5",0.680383115822514,0.21793706970452,TRUE
"CFL2",0.667425198166877,0.217346999665436,TRUE
"CGNL1",0.586709880727008,0.239016598478591,FALSE
"CHAD",0.73478863857995,0.189517364412429,TRUE
