"","MM","GS","group"
"CD59",0.417794150174042,0.00315626483284626,FALSE
"CD81",0.482079525888701,0.026330029237532,FALSE
"CDADC1",0.487057368360553,0.162694346106542,FALSE
"CDC20",0.874101027009269,0.232265461013249,TRUE
"CDC25A",0.843960334597593,0.190679952501798,TRUE
"CDC25B",0.567062098050152,0.152812940882692,FALSE
"CDC25C",0.815294543843549,0.165792849213917,TRUE
"CDC37L1",0.593937191590753,0.105715454032066,FALSE
"CDC45",0.856461918510018,0.188448261683732,TRUE
"CDC6",0.885674732110788,0.212537750623032,TRUE
"CDC7",0.784042475873155,0.134452601656631,FALSE
"CDCA2",0.877547858552396,0.25229801008232,TRUE
"CDCA3",0.856599051536936,0.209225922189078,TRUE
"CDCA4",0.80115826235127,0.221839569211996,TRUE
"CDCA5",0.878996740231384,0.200000196883583,TRUE
"CDCA7",0.590553193875571,0.179846768771098,FALSE
"CDCA8",0.912718846563497,0.219832880132954,TRUE
"CDH24",0.395795240716615,0.0473978532110933,FALSE
"CDK1",0.909561734423391,0.209772984148844,TRUE
"CDK2",0.704910075172474,0.171686050665259,TRUE
"CDK4",0.513959439698023,0.138231266533305,FALSE
"CDKAL1",0.399444493979356,0.0786629489910777,FALSE
"CDKN2A",0.403646544960563,0.165788312693572,FALSE
"CDKN2B.AS1",0.447198160214045,0.0887104115757597,FALSE
"CDKN2C",0.530062392764843,0.180179021440828,FALSE
"CDKN2D",0.339947028091668,0.087999653301403,FALSE
"CDKN3",0.809782985443426,0.148548946421448,FALSE
"CDNF",0.456608046951857,0.128961713667885,FALSE
"CDT1",0.829804823627266,0.18061585729463,TRUE
"CENPA",0.894911603369879,0.242610512475868,TRUE
"CENPE",0.870457252578437,0.220335386067359,TRUE
"CENPF",0.884817440689297,0.212978434862925,TRUE
"CENPH",0.784368801094877,0.174413744389577,TRUE
"CENPI",0.871223447658441,0.223376568173247,TRUE
"CENPJ",0.640916159092356,0.126999514230121,FALSE
"CENPK",0.843062038525474,0.180063586813551,TRUE
"CENPL",0.830486425650491,0.231539818134999,TRUE
"CENPM",0.803426677536666,0.194949408550945,TRUE
"CENPO",0.783390260879192,0.239503890092701,TRUE
"CENPP",0.493607480029871,0.157486146591454,FALSE
"CENPQ",0.660482783874874,0.171997370315351,TRUE
"CENPU",0.710274302735447,0.186428473379534,TRUE
"CENPW",0.741935758326327,0.189383158827974,TRUE
"CEP131",0.621279194212914,0.177091262260036,TRUE
"CEP152",0.612320721988723,0.121493985620514,FALSE
"CEP19",0.423371147503155,0.110283484966652,FALSE
"CEP250",0.630788179284371,0.161874303149203,TRUE
"CEP55",0.880966615215237,0.254545924783177,TRUE
"CEP72",0.42986257410918,0.0435373364438437,FALSE
"CEP78",0.622263037792391,0.145766093256435,FALSE
"CFAP68",0.450390445161112,0.0384814156494977,FALSE
"CFI",0.581056152398621,0.156305237654083,FALSE
"CHAF1A",0.722163373580318,0.140298213699873,FALSE
"CHAF1B",0.847041727451566,0.214367769703388,TRUE
"CHEK1",0.889929548029259,0.25635911116911,TRUE
"CHEK2",0.376047112446909,0.0160102165505054,FALSE
"CHORDC1",0.425637417930657,0.179008706158918,FALSE
"CHTF18",0.65878835904045,0.134052727923483,FALSE
"CIP2A",0.889538279184453,0.22915774830933,TRUE
"CIT",0.738296633457002,0.214276642391173,TRUE
"CKAP2",0.651618129363133,0.160238830310456,TRUE
"CKAP2L",0.898814641410666,0.244511989110405,TRUE
"CKAP4",0.502978482413246,0.107283379733416,FALSE
"CKAP5",0.637083971803265,0.146020241055165,FALSE
"CKS2",0.656508779978299,0.225871491327665,TRUE
"CLDN18",0.445327713300541,0.150315270349224,FALSE
"CLGN",0.402974920649796,0.0294569325983739,FALSE
"CLSPN",0.887081935552592,0.218567015524874,TRUE
"CNDP2",0.459149458106462,0.0291955356352539,FALSE
"CNIH2",0.44362533712839,0.0530636411782933,FALSE
"CNOT10",0.411714764375726,0.0726247750883935,FALSE
"CNOT9",0.592046001558129,0.16011838455926,FALSE
"CNTNAP1",0.41395336036676,0.104389069233863,FALSE
"COMMD2",0.539220492565611,0.101190627189689,FALSE
"COQ10B",0.360997145190108,0.0930456441621908,FALSE
"COQ9",0.507522090885901,0.0721314948989782,FALSE
"COX1",0.450701874890118,0.117904295945935,FALSE
"COX18",0.545889813566662,0.091947869282985,FALSE
"COX3",0.46218798345663,0.0888627799281834,FALSE
"CPO",0.437222566464217,0.0605786403222252,FALSE
"CPSF6",0.680253615708575,0.22749491339109,TRUE
"CSE1L",0.505779689979233,0.193795416960046,FALSE
"CSPG5",0.388193929944934,0.134603160219909,FALSE
"CSRNP1",0.424125727771847,0.140231902515304,FALSE
"CSTF2",0.46019303232433,0.178459166892603,FALSE
"CSTF3.DT",0.403965593583656,0.00195389771044793,FALSE
"CTIF",0.374666354441177,0.0086946081745316,FALSE
"CTSO",0.557698493548867,0.150475396498738,FALSE
"CTSV",0.570957974949879,0.131605530583523,FALSE
"CUX1",0.418750066067912,0.0216226922414964,FALSE
"CWC27",0.35487855757802,0.0567008339165459,FALSE
"CYB5D2",0.64268092740873,0.177435108630011,TRUE
"DAND5",0.476965331273808,0.131739513647338,FALSE
"DBF4",0.749068014697597,0.230107593164039,TRUE
"DBF4B",0.759803611271156,0.156516654447007,TRUE
"DCAF16",0.528867453737353,0.118116949330441,FALSE
"DCLRE1B",0.607824459719311,0.180632631663837,TRUE
"DCLRE1C",0.581266417409968,0.123393994370428,FALSE
"DCP2",0.3671801863986,0.0115509626113071,FALSE
"DDIAS",0.707864852484507,0.231934635180728,TRUE
"DDX11",0.633457599706484,0.116813848321625,FALSE
"DDX11.AS1",0.724157444223481,0.125369133169051,FALSE
"DDX23",0.416938226709447,0.125593756768394,FALSE
"DEK",0.496658278291857,0.0958713153550688,FALSE
"DENND4B",0.459630539434677,0.032372435894673,FALSE
"DENR",0.44745069236905,0.0919000888486593,FALSE
"DEPDC1",0.867276202895804,0.218795300980143,TRUE
"DEPDC1.AS1",0.545544539356521,0.160164409711836,FALSE
"DEPDC1B",0.843814507155872,0.192647962571526,TRUE
"DEPP1",0.350641289395881,0.0237409447892732,FALSE
"DFFBP1",0.370284963092538,0.0570846534807289,FALSE
"DGKZP1",0.353281994365968,0.179001150632131,FALSE
"DHDH",0.459391580878521,0.16445872546968,FALSE
"DHODH",0.624334293450574,0.159801353357566,TRUE
"DHX37",0.411857081229761,0.137211821051262,FALSE
"DIAPH3",0.634600567814877,0.142014459835181,FALSE
"DKC1",0.385694006648648,0.163492690394071,FALSE
"DLGAP5",0.882507542789072,0.251513441072842,TRUE
"DLK2",0.382807661770285,0.0990362658773853,FALSE
"DLST",0.431440204073374,0.145038395296816,FALSE
"DMC1",0.517544935672132,0.139439550666106,FALSE
"DNA2",0.647901745529645,0.110468743436995,FALSE
"DNASE1L3",0.624124808881378,0.221345424906031,TRUE
"DNMT1",0.746580771428279,0.108677907518927,FALSE
"DNMT3B",0.651779647783754,0.0888712426636863,FALSE
"DONSON",0.628249357070984,0.0710214082032901,FALSE
"DOT1L",0.505089037522307,0.0685916449377194,FALSE
"DPF2",0.408019836478046,0.122679739165091,FALSE
"DQX1",0.497671392056706,0.0845744335154043,FALSE
"DR1",0.46814563702126,0.222311468360252,FALSE
"DROSHA",0.479808961812401,0.149085748592884,FALSE
"DSCC1",0.628726456599972,0.119801081798977,FALSE
"DSG2",0.461043239959549,0.146257880109523,FALSE
"DSN1",0.708808567019864,0.148152408285478,FALSE
"DTL",0.869257891062394,0.18306208881629,TRUE
"DTYMK",0.544897004263215,0.162745095931236,FALSE
"DUSP9",0.454771971385649,0.0876190207498602,FALSE
"DVL3",0.555840391054833,0.132513591662475,FALSE
"DYNC1LI1",0.304361787315863,0.069317517035488,FALSE
"DYNLRB2",0.342911329221076,0.0593530936924838,FALSE
"E2F1",0.779913706414939,0.172262673735396,TRUE
"E2F2",0.832490981102642,0.203013202276117,TRUE
"E2F3",0.473506565006585,0.181092201187376,FALSE
"E2F6",0.554136297630797,0.163544165608067,FALSE
"E2F7",0.681135014035025,0.17557009204046,TRUE
"E2F8",0.835131592994412,0.1175659217241,FALSE
"ECT2",0.852328138183678,0.251920106597828,TRUE
"EDC3",0.418384497169372,0.131823628860275,FALSE
"EED",0.41216788866309,0.15719947165851,FALSE
"EFCAB6",0.409333658858376,0.0679463764559979,FALSE
"EFTUD2",0.470456255617627,0.18180791485839,FALSE
"EHMT2.AS1",0.471303264913137,0.0918103876268296,FALSE
"EIF5",0.366537468165576,0.114852580965317,FALSE
"ELFN1",0.46211535391948,0.23725995837886,FALSE
"ELOVL3",0.425986426850677,0.190361849678251,FALSE
"EME1",0.872040799932257,0.181095373188982,TRUE
"ENAH",0.345369897096027,0.117413103177417,FALSE
"EPPK1",0.42778451068308,0.0505781414570433,FALSE
"ERCC6L",0.895823588104077,0.237664212086823,TRUE
"ERI1",0.332028226431538,0.129248083230642,FALSE
"ESCO2",0.75543367212196,0.198139824797335,TRUE
"ESPL1",0.727604016766056,0.139970157267028,FALSE
"ETFA",0.557312513863722,0.137388505920743,FALSE
"EWSR1",0.401264053787428,0.0642091225113761,FALSE
"EXO1",0.887986630092892,0.215133783621359,TRUE
"EXO5",0.425237269878556,0.0223119164991439,FALSE
"EXOG",0.363721562410933,0.0713507774114457,FALSE
"EZH2",0.872202937339207,0.182809772276429,TRUE
"FAAP24",0.610250951819828,0.124279739157491,FALSE
"FABP4",0.505164354831975,0.156874321869754,FALSE
"FABP6",0.361088473106484,0.160073504986451,FALSE
"FAM107A",0.530633818380701,0.188825172542319,FALSE
"FAM111A",0.39138667459134,0.0350113949498039,FALSE
"FAM111B",0.698401181191389,0.119291008421606,FALSE
"FAM200C",0.547309495510307,0.20969867549054,FALSE
"FAM20C",0.376829588113237,0.0791845477587167,FALSE
"FAM222A",0.375243739594923,0.0182276188580143,FALSE
"FAM24B",0.441788791224804,0.0611843685927494,FALSE
"FAM43A",0.422082398442241,0.0425069852129204,FALSE
"FAM72A",0.800003544374384,0.166250850468885,TRUE
"FAM72B",0.818814454814314,0.152600049487122,TRUE
"FAM72D",0.767700130222362,0.20633207682939,TRUE
"FAM83D",0.572880982028929,0.14608023460132,FALSE
"FANCA",0.553456472242006,0.0756965154464257,FALSE
"FANCB",0.832035810970007,0.202059932049949,TRUE
"FANCD2",0.910132534648859,0.191677061812621,TRUE
"FANCE",0.709220413700712,0.166597943304188,TRUE
"FANCG",0.607586046553965,0.0870591660127881,FALSE
"FANCI",0.891738092697228,0.214540274870284,TRUE
"FBXL19.AS1",0.422957463621118,0.150633760041358,FALSE
"FBXO43",0.761015225146943,0.112162647623439,FALSE
"FBXO45",0.475806968342489,0.146166474930283,FALSE
"FBXO5",0.737952492911054,0.212993430864987,TRUE
"FBXO8",0.406074032941943,0.0842376268777163,FALSE
"FDPSP8",0.365355833222029,0.129116894839514,FALSE
"FEN1",0.756498983443332,0.159921191568989,TRUE
"FER1L4",0.464880603833055,0.134161298062325,FALSE
"FER1L5",0.48526453441111,0.0732592277392825,FALSE
"FIGNL1",0.561806454445454,0.151616311184783,FALSE
"FLVCR1",0.489769993872639,0.123331173536777,FALSE
"FMO1",0.376564463143278,0.00208136456165192,FALSE
"FOXD2.AS1",0.473502942087527,0.0917724283137431,FALSE
"FOXK2",0.428261200777945,0.194305288902557,FALSE
"FOXM1",0.865627856025147,0.182235314467585,TRUE
"FOXO1",0.464561325561192,0.163922078146389,FALSE
"FSD1L",0.543750783048112,0.205409243615734,FALSE
"FUS",0.489300377568338,0.0808840473986749,FALSE
"FXN",0.439443649990388,0.056282880510679,FALSE
"G3BP1P1",0.493021169087681,0.0942494377745101,FALSE
"G6PD",0.527444319787848,0.194044147186284,FALSE
"GABARAPL1",0.668364687308029,0.173471087709441,TRUE
"GADD45B",0.499371395424507,0.183936597866299,FALSE
"GALNT15",0.638860903160035,0.164272280461046,TRUE
"GAS2L3",0.806113021645373,0.276880139816834,TRUE
"GCN1",0.444406482776294,0.169194157937145,FALSE
"GEMIN2",0.409049342478497,0.0578384399025121,FALSE
"GGA3",0.475256204516204,0.107140472788101,FALSE
"GHITM",0.517669740669525,0.154587979073977,FALSE
"GINS1",0.936817576127423,0.189316276481758,TRUE
"GINS2",0.669750599379204,0.155781298492812,TRUE
"GINS3",0.673483678927404,0.194819163977259,TRUE
"GINS4",0.686284924733833,0.150418789073328,TRUE
"GLMN",0.408168084661271,0.169134654069434,FALSE
"GLYATL2",0.364901157889728,0.058842664628424,FALSE
"GMEB1",0.382632746462727,0.0769057721397745,FALSE
"GMNN",0.390533864124793,0.0298743970636138,FALSE
"GMPS",0.613671895322809,0.192791037257843,TRUE
"GNA14",0.601750572018115,0.219209059521568,TRUE
"GNAO1.DT",0.457936620357836,0.159703508756877,FALSE
"GNAZ",0.424755727844053,0.126760757984783,FALSE
"GNG12.AS1",0.493331356770386,0.0772396111904291,FALSE
"GNG7",0.463922667251318,0.16452626743044,FALSE
"GPATCH1",0.373590168537848,0.0287168481794111,FALSE
"GPD2",0.536925461282831,0.131077398578409,FALSE
"GPIHBP1",0.494763575390044,0.16303009011766,FALSE
"GPR137C",0.456708728144081,0.0506087273563967,FALSE
"GPR155",0.502336430711105,0.120518730032284,FALSE
"GPR19",0.644498954383989,0.107869373310359,FALSE
"GPRC5D",0.465571043179489,0.0361824653034805,FALSE
"GPRIN1",0.435980983200816,0.150157544832275,FALSE
"GPSM2",0.827663338659397,0.259985964357581,TRUE
"GPX3",0.408497921126,0.131993560246479,FALSE
"GRK6",0.358507063038432,0.109870009806345,FALSE
"GRPEL1",0.510717818010127,0.142184479271023,FALSE
"GTF2IRD2",0.459260321938885,0.0961384873718421,FALSE
"GTF2IRD2B",0.481552141543859,0.10214475793744,FALSE
"GTF3C2",0.512472337388816,0.192537890684296,FALSE
"GTSE1",0.908387811769653,0.187472932122723,TRUE
"GVQW3",0.45760546408302,0.0846007423168292,FALSE
"H1.4",0.395852151840045,0.0878254590691766,FALSE
"H1.5",0.431592427599449,0.134456745290322,FALSE
"H2AC12",0.397136785347537,0.152787662542096,FALSE
"H2AC14",0.387095779681679,0.0636397692721631,FALSE
"H2AX",0.686721480723338,0.210337967396552,TRUE
"H2AZ1",0.633897023811444,0.230428626560946,TRUE
"H2AZ2",0.313783683681417,0.088135264540985,FALSE
"H3C3",0.372601174903724,0.0827694221096819,FALSE
"HADHB",0.42491164913463,0.134609922370397,FALSE
"HASPIN",0.840721226192184,0.169938180967872,TRUE
"HAT1",0.38295362004798,0.108739766753167,FALSE
"HAUS1",0.552153943055379,0.113154016005225,FALSE
"HAUS5",0.607305897679383,0.0396154947806107,FALSE
"HAUS6",0.604225568395411,0.204897155297589,TRUE
"HAUS8",0.472935305894986,0.09292917945652,FALSE
"HCCS.DT",0.423675440174274,0.11632548817245,FALSE
"HCFC1",0.535160378560362,0.177825714409524,FALSE
"HDAC1",0.35867743396646,0.0137776305432231,FALSE
"HDAC2",0.502075358837226,0.230135755650748,FALSE
"HEATR6",0.461343769979867,0.219101997271592,FALSE
"HEBP1",0.380196684384628,0.0742573205462706,FALSE
"HELLS",0.885564075697352,0.138923447775265,FALSE
"HERPUD1",0.514811224422381,0.0806345036286854,FALSE
"HJURP",0.917128605686207,0.227282268841521,TRUE
"HLCS.AS1",0.380720892960342,0.0667129105793295,FALSE
"HMGA1",0.490097368153528,0.135361499632932,FALSE
"HMGB2",0.750260233868551,0.127083375150563,FALSE
"HMGN1",0.453023830818209,0.018086866795751,FALSE
"HMGN2",0.415321406895209,0.0351869268862927,FALSE
"HMGN4",0.391223974236914,0.146578893138323,FALSE
"HMMR",0.777175781578691,0.170378865467192,TRUE
"HNRNPA2B1",0.433999416157961,0.0285842315588316,FALSE
"HNRNPA3",0.613942072843557,0.112923601668999,FALSE
"HNRNPD",0.371764845114438,0.119096990655847,FALSE
"HNRNPH3",0.435413130239165,0.127425732740754,FALSE
"HNRNPL",0.531551513944783,0.151247681343451,FALSE
"HNRNPU",0.517017632259708,0.109392415407932,FALSE
"HNRNPUL1",0.489041044015701,0.100601673206999,FALSE
"HROB",0.825060720655758,0.143644461620167,FALSE
"HSF2BP",0.560551880787539,0.160659824235112,FALSE
"HSPA14",0.46479780181194,0.178078950659333,FALSE
"HTR2B",0.420931929658029,0.0383093447245382,FALSE
"IBSP",0.360501118128404,0.169847838657589,FALSE
"IFT172",0.403181008564671,0.15101689144444,FALSE
"IFT56",0.364624194246116,0.153108154418308,FALSE
"IFT80",0.48647217709835,0.0868525230214502,FALSE
"IGF2BP1",0.43156873504649,0.0130725132699418,FALSE
"IGF2BP3",0.550215341741902,0.129138141791405,FALSE
"IGSF1",0.381255146906188,0.0196146412295196,FALSE
"IGSF3",0.479446774473338,0.152983101056169,FALSE
"IKBIP",0.497142065300144,0.19297581102045,FALSE
"ILDR1",0.391556418794993,0.0815941221603967,FALSE
"ILF3",0.681507641931221,0.152091555143079,TRUE
"IMMP2L",0.495068375895722,0.161382811860632,FALSE
"INAVA",0.506197588662719,0.0910633024409942,FALSE
"INCENP",0.666619371801985,0.16995321106954,TRUE
"INTS7",0.352888359897719,0.031842793664464,FALSE
"IPO9",0.467809433795561,0.0752797129195775,FALSE
"IQCB1",0.573280366779262,0.0812398875717069,FALSE
"IQCC",0.44738497998031,0.0823914231722049,FALSE
"IQCD",0.321751078196536,0.124496160476954,FALSE
"IQGAP3",0.62806003051218,0.099002984337727,FALSE
"ISCU",0.549059223286925,0.0954839289939317,FALSE
"ITGB3BP",0.489697257079508,0.127246096913581,FALSE
"ITM2B",0.365988372882617,0.112259122581713,FALSE
"ITPKA",0.411984251095008,0.0871230748855991,FALSE
"KBTBD11",0.460946894925328,0.0485330486683333,FALSE
"KBTBD11.AS1",0.476529403366006,0.0627689230418836,FALSE
"KCND3",0.43421871537736,0.0387301967957047,FALSE
"KCNMB3",0.508166911113601,0.0740729141012888,FALSE
"KDSR",0.381214166323327,0.00952927181900866,FALSE
"KHDRBS1",0.513074161939142,0.138113280487445,FALSE
"KHSRP",0.474724743820656,0.084734586362172,FALSE
"KIAA1328",0.359568535982153,0.0844616029230762,FALSE
"KIF11",0.925663786720514,0.240206421575019,TRUE
"KIF14",0.818672530327089,0.208089833359503,TRUE
"KIF15",0.87731877295249,0.191400574538506,TRUE
"KIF18A",0.914808330047971,0.226811230233649,TRUE
"KIF18B",0.947962547441802,0.189953511927124,TRUE
"KIF20A",0.87155822893864,0.221958701738513,TRUE
"KIF20B",0.751571676796649,0.150460702948754,TRUE
"KIF22",0.594468973996959,0.142194904342349,FALSE
"KIF23",0.929417170924998,0.247791060936736,TRUE
"KIF24",0.689704666696888,0.198098614101744,TRUE
"KIF2A",0.552620026746756,0.154808595079854,FALSE
"KIF2C",0.906561067247491,0.241787646632675,TRUE
"KIF4A",0.914468679068862,0.208489919618872,TRUE
"KIFC1",0.920269656215966,0.205003406056984,TRUE
"KLF6",0.350238308467903,0.0762234541588606,FALSE
"KMT5A",0.435203288151953,0.106585701818408,FALSE
"KMT5C",0.497179339844672,0.0653582761446194,FALSE
"KNL1",0.402902578230647,0.043289944484359,FALSE
"KNOP1",0.414337726739053,0.230828706323379,FALSE
"KNSTRN",0.634437168486917,0.119283647452051,FALSE
"KNTC1",0.852077705423531,0.159744148891682,TRUE
"KPNA2",0.756672728232889,0.243569304610033,TRUE
"KPNB1",0.566734018036867,0.219365181058836,FALSE
"KREMEN2",0.453830726918559,0.137072501648884,FALSE
"KRT18P5",0.494120932709952,0.0249419740284125,FALSE
"LAP3",0.465861857601853,0.13731193165483,FALSE
"LAPTM4B",0.370019272508001,0.0721388291625471,FALSE
"LARP4B",0.468223622144151,0.197758881599705,FALSE
"LARP7",0.349640095437764,0.0205703106261694,FALSE
"LBR",0.456984044534753,0.0440652962783756,FALSE
"LHX3",0.37726933642472,0.050684759660912,FALSE
"LHX4",0.412233371639845,0.0458394191896205,FALSE
